"ThreatHi","SamPt","NetComp","Gender","Educ","OwnPC","UseNet","nextyear_M","Statements1","OpinionPak","OpinionRussia","CanBuy_M","Region_M","TodayEcSit_M","GeoCode","AgeGroup2","TrustGov_M","totwt"
NA,"79","5","Female",11,"Yes","Yes","1","1",NA,"4","2","Eastern","3","Rural","1","Trust",0.566835246524889
"0","79","1","Female",12,"No","Yes","3","1",NA,"4","1","Eastern","4","Rural","2","Trust",0.570479312648942
"0","79","5","Female",11,"Yes","Yes","3","1",NA,"4","2","Eastern","3","Rural","2","Trust",0.570479312648942
"0","79","2","Female",13,"No",NA,"3","3",NA,"4","2","Eastern","3","Rural","1","Trust",0.566835246524889
"0","79","2","Female",9,"No","Yes","1",NA,NA,"4","3","Eastern","3","Rural","1","Trust",0.566835246524889
"0","80","5","Female",16,"Yes","Yes","2",NA,NA,"4","3","Eastern","2","Rural","2","Trust",0.570479312648942
"1","80","1","Male",10,"No","No","2","4","2","3","1","Eastern","2","Rural","5","Trust",1.07748776322265
"1","80","2","Female",13,"Yes","Yes",NA,"3","2","3","2","Eastern","3","Rural","2","Trust",0.570479312648942
"1","81","2","Female",12,"Yes","Yes","1","3","3","3","2","Northern","3","Urban","3","Distrust",0.837410858318167
"0","82","5","Female",14,"Yes","Yes","3","3","3","4","5","Northern","4","Urban","1","Trust",0.802717075252585
"1","82","3","Female",15,"No","Yes","3","4","2","4","2","Northern","4","Urban","3","Trust",0.837410858318167
"1","82","4","Female",15,"Yes","Yes","2","2","2","3","3","Northern","3","Urban","2","Trust",0.807877576684104
"1","83","1","Female",11,"No","Yes",NA,"3",NA,"4","3","Northern","2","Urban","2","Trust",0.807877576684104
"1","83","1","Female",11,"Yes","No","2","4","1","4","3","Northern","4","Urban","4","Trust",1.06120972220014
"0","83","1","Male",11,"Yes","Yes","2","2","2","3","3","Northern","3","Urban","3","Trust",1.21439593793391
"1","83","5","Female",18,"Yes","Yes","3","4","3","4","3","Northern","1","Urban","4","Trust",1.06120972220014
"1","84","1","Female",11,"Yes","No","2","4","1","4","3","Northern","4","Urban","4","Trust",1.06120972220014
"1","84","5","Female",15,"Yes","Yes","3","3","1","4","3","Northern","3","Urban","1","Trust",0.802717075252585
"0","84","1","Male",11,"Yes","No","2","2","2","3","3","Northern","3","Urban","3","Trust",1.21439593793391
"1","84","1","Male",11,"No","Yes","2","4",NA,"3","3","Northern","3","Urban","3",NA,1.21439593793391
"1","87","5","Female",11,"No","Yes","3","4","2","3","3","Western","5","Urban","4","Trust",1.22674900348746
"0","88","1","Female",8,"No","No","3","1",NA,"4","6","Western","4","Urban","5","Trust",1.21632820174111
"0","88","1","Female",10,"Yes","Yes","3","3",NA,"3","1","Western","4","Urban","4","Trust",1.22674900348746
"0","90","5","Male",13,"Yes","Yes",NA,"2",NA,"4","3","Southern","2","Urban","3","Trust",1.5150766404033
"1","90","5","Female",12,"Yes","Yes","2","3","2","2","3","Southern",NA,"Urban","3","Trust",1.04475121352636
"1","91","5","Male",15,"Yes","Yes","3","4","4","4","4","Southern","5","Urban","1","Trust",1.45230728439632
"0","92","2","Male",10,"Yes","Yes","2","4","1","2","5","Southern","3","Urban","3","Trust",1.5150766404033
"0","92","5","Male",9,"Yes","Yes","3",NA,NA,"3","2","Southern","3","Urban","1","Trust",1.45230728439632
"0","92","4","Female",11,"Yes","Yes","3","4",NA,"2","5","Southern","2","Urban","2","Trust",1.00790558211364
"0","93","4","Female",13,"Yes","Yes","2","4",NA,"3","3","Southern","3","Urban","4","Trust",1.32396198838555
"0","93","1","Male",5,"No","No","3","4",NA,"4","2","Southern","2","Urban","5","Trust",1.9036727662718
"0","93","5","Male",9,"Yes","Yes","3","3","3","4","3","Southern","2","Urban","2","Trust",1.46164386642652
"1","93","5","Female",10,"Yes","Yes","2","4","2","3","2","Southern","2","Urban","3","Trust",1.04475121352636
"0","93","5","Male",15,"Yes","Yes","3","4","2","4","2","Southern","3","Urban","2","Trust",1.46164386642652
"1","93","5","Female",11,"Yes","Yes","3","4","1","4","2","Southern","4","Urban","1","Trust",1.00146735638558
"0","97","3","Female",11,"Yes","Yes","2","3",NA,"3","2","Western",NA,"Urban","2","Trust",0.933899295685281
"1","99","5","Male",14,"Yes","Yes","1","4",NA,"2","3","Western","3","Urban","5",NA,1.76389404641281
"1","99","2","Female",10,"Yes",NA,"2","4",NA,"4","3","Western","3","Urban","2","Trust",0.933899295685281
"1","99","1","Female",12,"No","Yes","3","4",NA,"4","4","Western","3","Urban","1","Trust",0.927933801913243
"1","99","5","Female",10,"Yes","Yes","3","4",NA,"4","3","Western","4","Urban","2","Trust",0.933899295685281
"0","100","5","Female",13,"Yes","Yes","2","3",NA,"4","3","Southern","3","Urban","5","Trust",1.31271539648987
"0","100","5","Female",15,"Yes","Yes","3","3","2","4","2","Southern","4","Urban","2","Trust",1.00790558211364
"1","100","5","Female",10,"Yes","Yes","3","4","3","3","2","Southern","3","Urban","5","Trust",1.31271539648987
"1","100","1","Female",12,"No","No","3","4","2","3","1","Southern","3","Urban","5","Trust",1.31271539648987
"0","100","5","Male",12,"Yes","Yes",NA,"4","2","4","2","Southern","4","Urban","1","Trust",1.45230728439632
"0","100","5","Female",12,"Yes","Yes","3","3","2","4","4","Southern",NA,"Urban","5","Trust",1.31271539648987
"1","100","3","Female",11,"Yes","Yes","3","4","3","4","6","Southern","4","Urban","1","Trust",1.00146735638558
"0","100","5","Female",11,"Yes","Yes",NA,"3","2","3","3","Southern","2","Urban","2","Trust",1.00790558211364
"0","101","4","Male",13,"Yes","Yes","3","2","2","4","5","Southern","4","Urban","1","Trust",1.45230728439632
"0","101","1","Female",15,"No","No","3","4","2","4","5","Southern",NA,"Urban","5","Trust",1.31271539648987
"0","101","5","Male",24,"Yes","Yes","3","3","2","4","5","Southern","4","Urban","2","Trust",1.46164386642652
"0","101","1","Male",13,"No","No","3","3",NA,"4","3","Southern","5","Urban","5","Trust",1.9036727662718
"1","101","4","Female",14,"Yes","Yes","2","4",NA,"4","1","Southern","2","Urban","2","Distrust",1.00790558211364
"0","101","4","Female",11,"Yes","Yes","3","2","1","4",NA,"Southern","2","Urban","2","Trust",1.00790558211364
NA,"101","1","Female",11,"No","Yes","2","4",NA,"3",NA,"Southern","3","Urban","1","Distrust",1.00146735638558
"1","102","5","Female",11,"Yes","Yes","2","3","3","4","2","Central","3","Urban","3","Trust",0.84100406505454
"0","102","1","Female",12,"No","Yes","2","3",NA,"3","1","Central","2","Urban","2","Distrust",0.811344060455924
"1","102","4","Female",10,"Yes","Yes","2","4",NA,"3","1","Central","2","Urban","3","Trust",0.84100406505454
"0","102","5","Male",13,"Yes","Yes","1","3","1","4","2","Central","1","Urban","5","Trust",1.53241892829618
"0","102","5","Female",11,"Yes","Yes","3","3","3","3","2","Central","4","Urban","2","Distrust",0.811344060455924
"0","102","5","Female",13,"Yes","Yes","3","4","2","3","4","Central","2","Urban","2","Distrust",0.811344060455924
"0","103","1","Female",12,"No","No","3","4",NA,"4","2","Central","4","Urban","5","Trust",1.05670993286652
"0","103","5","Female",12,"Yes","Yes","2","4",NA,"3","2","Central","1","Urban","5","Trust",1.05670993286652
"0","103","5","Female",16,"Yes","Yes","1","4","2","4","3","Central","3","Urban","4","Trust",1.06576321692097
"0","104","4","Female",16,"Yes","Yes","2","4",NA,"4","3","Central","3","Urban","2","Trust",0.811344060455924
"0","104","1","Female",12,"No","No","3","3","2","2","2","Central","3","Urban","5","Trust",1.05670993286652
"1","104","5","Female",18,"Yes","Yes","1","3",NA,"3","2","Central","3","Urban","4","Trust",1.06576321692097
"0","104","5","Female",11,"Yes","Yes","1","4","2","3","1","Central","3","Urban","5","Trust",1.05670993286652
"0","104","2","Female",15,"No","Yes","2","3","3","3","2","Central","2","Urban","2","Trust",0.811344060455924
"1","104","1","Male",10,"No","No","2","4","3","4","2","Central","1","Urban","5","Trust",1.53241892829618
"0","104","2","Female",13,"Yes","Yes","2","2","3","3","2","Central","1","Urban","2","Trust",0.811344060455924
"1","104","1","Female",13,"No","No","3","4","2","3","2","Central","3","Urban","5","Trust",1.05670993286652
"0","105","1","Male",10,"Yes","No","3","3","4","4","4","Central","3","Urban","4","Trust",1.54554781392201
"0","105","1","Female",8,"No","No","1","3",NA,"4","1","Central","1","Urban","5","Trust",1.05670993286652
"0","105","1","Male",15,"Yes","Yes","2","1","3","4","2","Central","3","Urban","1","Trust",1.16907864195059
"0","105","3","Female",8,"Yes","Yes","2","3","3","4",NA,"Central","3","Urban","4","Trust",1.06576321692097
"0","106","4","Female",14,"Yes","Yes","2","3","3","4","3","Central","4","Urban","5","Trust",1.05670993286652
"0","106","4","Male",12,"Yes",NA,"3","3","2","4","4","Central","4","Urban","2","Trust",1.17659440583719
"0","106","5","Female",17,"Yes","Yes","3","3","3","4","4","Central","4","Urban","1","Trust",0.806161416072326
"1","106","5","Female",15,"Yes","Yes","2","3","2","4","4","Central","3","Urban","4","Trust",1.06576321692097
"0","106","5","Female",14,"Yes","Yes","3","3",NA,"4","4","Central","3","Urban","2","Trust",0.811344060455924
"0","106","1","Female",15,"Yes","Yes","3","4","3","3","3","Central","3","Urban","1","Trust",0.806161416072326
"0","107","4","Male",9,"Yes","Yes","2","3",NA,"3","2","Central","3","Urban","2","Trust",1.17659440583719
"0","108","5","Male",17,"Yes","Yes","2","4","3","3","2","Central","3","Urban","5","Trust",1.53241892829618
"0","108","1","Female",11,"No","No","3","4",NA,"4","4","Central","4","Urban","5","Trust",1.05670993286652
"0","110","1","Female",11,"No","No","2","4",NA,"4","2","Central","2","Urban","5","Trust",1.05670993286652
"1","110","4","Male",12,"Yes","Yes","2","4","2","3","2","Central","3","Urban","2","Trust",1.17659440583719
"0","110","5","Female",14,"Yes","Yes","3","3",NA,"3","3","Central","3","Urban","2","Trust",0.811344060455924
"1","110","5","Female",16,"Yes","Yes","2","4","1","3","1","Central","2","Urban","3","Trust",0.84100406505454
"1","110","1","Female",14,"No","No","3","3",NA,"4","3","Central","4","Urban","5","Trust",1.05670993286652
"0","110","5","Male",13,"Yes","Yes","2","2",NA,"3","1","Central","3","Urban","4","Trust",1.54554781392201
"1","111","4","Female",10,"Yes","Yes","2","3",NA,"3","2","Central","3","Urban","4",NA,1.06576321692097
"0","111","5","Female",11,"Yes","Yes","1","2",NA,"2","1","Central","1","Urban","5","Trust",1.05670993286652
"0","111","1","Male",16,"Yes","No","2","4","1","4","3","Central","1","Urban","4","Trust",1.54554781392201
"1","112","5","Male",12,"Yes","Yes","1","3","2","4","1","Northern","2","Urban","2","Distrust",1.17156738263872
"0","112","2","Female",13,"Yes","Yes","3","3","2","3","4","Northern","4","Urban","2","Trust",0.807877576684104
